Dataset,Samples,MeanUncertainty,EmergencyProtectionPercent,EvidenceAcquisitionPercent,NormalOperationPercent,BaselineUVIFDisagreementPercent,CriticalLowPercent,SurplusPercent
Primary_Internal_Test,39356,0.040015870540521026,44.859741843683295,55.140258156316705,0.0,100.0,21.750177863604026,10.890334383575567
UniSolar_External_Test,41362,1.765535068684012,0.0,100.0,0.0,100.0,10.026110923069483,9.965668971519753
