Dataset,Accuracy,BalancedAccuracy,F1_macro,F1_weighted
Primary_Internal_Test,0.647880882203476,0.7525514156439624,0.6976629156617274,0.659216943851039
UniSolar_External_Test,0.28173202456360913,0.23106593315781673,0.2311019458716667,0.2817295779085375
